no,group,speaker,original,pron,trans,comment
1,1,,À partir de maintenant,아 파르티르 드 만트넌,지금부터,
2,1,,Le week-end dernier,르 위크-앙 데르니에,지난 주말,
3,1,,La semaine dernière,라 스멍 데르니에르,지난주,
4,1,,Le dernier,르 데르니에,마지막,
5,1,,Il y a cinq minutes,일 야 생 미뉘트,5분 전에,
6,1,,Il y a une semaine,일 야 융 스멍,일주일 전에,
7,1,,Il y a trois ans,일 야 트루아 장,3년 전에,
8,1,,En avance,앙 아방스,미리,
9,1,,À l'heure,아 뤼르,정시에,
10,1,,En retard,앙 흐타르,늦게,
11,1,,Tu es toujours en retard.,튀 에 투주르 앙 흐타르,너는 항상 늦어.,
12,1,,Vous pouvez venir dix minutes en avance ?,부 푸베 베니르 디스 미뉘트 앙 아방스 ?,10분 일찍 올 수 있나요?,
13,1,,Ils sont arrivés à l'heure.,일 손 아리베 아 뤼르,그들은 제시간에 도착했다.,
14,1,,"Hier, j'ai mangé un steak-frites.","이에르, 제 망제 앙 스텍-프리트",어제 나는 스테이크와 감자튀김을 먹었다.,
15,1,,Vous avez fini vos devoirs ?,부 자베 피니 보 드부아르 ?,숙제를 다 했나요?,
16,1,,Qu'est-ce que tu as fait hier soir ?,케스 크 튀 아 페 이에르 스와르 ?,어제 저녁에 무엇을 했니?,
17,1,,Tu as acheté un cadeau d'anniversaire pour maman ?,튀 아 아쉐테 앙 카도 단니베르세르 푸르 마망 ?,엄마 생일 선물 샀니?,
18,1,,"Oui, j'ai acheté un sac.","위, 제 아쉐테 앙 삭","응, 가방 샀어.",
19,1,,"Non, pas encore.","농, 파 종코르",아직 아니야.,
20,1,,"Non, je n'ai pas encore choisi.","농, 쥬 네 파 종코르 쇼이지",아직 선택하지 않았어.,
21,1,,Ils ont fait un beau voyage.,일 존 페 앙 보 브와야쥬,그들은 멋진 여행을 했다.,
22,1,,Tu es encore en retard ?,튀 에 앙코르 앙 흐타르 ?,너 또 늦었니?,
23,1,,Pardon ! J'ai eu un accident de voiture.,파르동 ! 제 유 앙 악시당 드 브와튀르,미안! 나는 교통사고가 났어.,
24,1,,Il est parti.,일 에 파르티,그는 떠났다.,
25,1,,Elle est partie.,엘 에 파르티,그녀는 떠났다.,
26,1,,Ils sont partis.,일 손 파르티,그들은 떠났다.,
27,1,,Elles sont parties.,엘 손 파르티,그녀들은 떠났다.,
28,1,,Je suis arrivé au restaurant.,쥬 스위 아리베 오 레스토랑,나는 식당에 도착했다.,
29,1,,Je suis arrivée au restaurant.,쥬 스위 아리베 오 레스토랑,나는(여자) 식당에 도착했다.,
30,1,,"Ma femme et moi, nous sommes sortis hier soir.","마 팜 에 무아, 누 솜 소르티 이에르 스와르",내 아내와 나는 어제 저녁에 나갔다.,
31,1,,"Ma sœur et moi, nous sommes allés au concert.","마 서르 에 무아, 누 솜 알레 오 콩세르",내 여동생과 나는 콘서트에 갔다.,
32,1,,"Mon mari et moi, nous sommes sortis hier soir.","몽 마리 에 무아, 누 솜 소르티 이에르 스와르",내 남편과 나는 어제 저녁에 나갔다.,
33,1,,"Ma sœur et moi, nous sommes allées au concert.","마 서르 에 무아, 누 솜 알레 오 콩세르",내 여동생과 나는(여자들) 콘서트에 갔다.,
34,1,,Édith Piaf est née en 1915 à Paris.,에디트 피아프 에 네 앙 밀 뇌프 상 캉즈 아 파리,에디트 피아프는 1915년 파리에서 태어났다.,
35,1,,Elle est devenue une chanteuse célèbre.,엘 에 드브뉴 융 샹퇴즈 셀렙르,그녀는 유명한 가수가 되었다.,
36,1,,Elle est morte en 1963.,엘 에 모르 앙 밀 뇌프 상 스와쌍트-트루아,그녀는 1963년에 사망했다.,
37,1,,"Henri, tu es sorti hier soir ?","앙리, 튀 에 소르티 이에르 스와르 ?","앙리, 너 어제 저녁에 나갔니?",
38,1,,"Oui, je suis allé au cinéma avec mon amie.","위, 쥬 스위 알레 오 시네마 아벡 몽 아미","응, 나는 친구와 영화관에 갔다.",
39,1,,La mère de Simon est morte l'année dernière.,라 메르 드 시몬 에 모르 라네 데르니에르,시몬의 어머니는 작년에 돌아가셨다.,
40,1,,Il est devenu père il y a trois jours.,일 에 드브뉴 페르 일 야 트루아 주르,그는 3일 전에 아버지가 되었다.,
41,1,,Leur voiture est tombée en panne.,뢰르 브와튀르 에 톰베 앙 판,그들의 차가 고장났다.,
42,1,,Ils sont allés chez le garagiste.,일 손 알레 쉐 르 가라지스트,그들은 정비공 집에 갔다.,
43,1,,Tu as choisi ?,튀 아 쇼이지 ?,선택했니?,
44,1,,Tu n'as pas choisi ?,튀 나 파 쇼이지 ?,선택하지 않았니?,
