no,group,speaker,original,pron,trans,comment
1,131,,Je lave mon chien.,[ʒə lav mɔ̃ ʃjɛ̃ / 즈 라브 몽 씨앙],나는 내 개를 씻깁니다.,
2,131,,Tu laves ta voiture ?,[ty lav ta vwatyʁ / 튀 라브 타 브와튀르],네 차를 씻어?,
3,131,,Il lave ses chaussettes.,[il lav se ʃosɛt / 일 라브 세 쇼쎄트],그는 양말을 빨아요.,
4,131,,Je me lave.,[ʒə mə lav / 즈 므 라브],나는 씻습니다 (몸을).,
5,131,,Tu te laves ?,[ty tə lav / 튀 트 라브],씻어?,
6,131,,Il se lave.,[il sə lav / 일 스 라브],그는 씻습니다.,
7,131,,Je me lave.,[ʒə mə lav / 즈 므 라브],나는 씻습니다.,
8,131,,je me présente,[ʒə mə pʁezɑ̃t / 즈 므 프레장],나는 자기소개한다,
9,131,,je présente,[ʒə pʁezɑ̃t / 즈 프레장],나는 소개한다,
10,131,,tu présentes,[ty pʁezɑ̃t / 튀 프레장],너는 소개한다,
11,131,,tu te présentes,[ty tə pʁezɑ̃t / 튀 트 프레장],너는 자기소개한다,
12,131,,il/elle/on présente,[il/ɛl/ɔ̃ pʁezɑ̃t / 일·엘·옹 프레장],그/그녀/우리는 소개한다,
13,131,,il/elle/on se présente,[il/ɛl/ɔ̃ sə pʁezɑ̃t / 일·엘·옹 스 프레장],그/그녀/우리는 자기소개한다,
14,131,,nous présentons,[nu pʁezɑ̃tɔ̃ / 누 프레장통],우리는 소개한다,
15,131,,nous nous présentons,[nu nu pʁezɑ̃tɔ̃ / 누 누 프레장통],우리는 자기소개한다,
16,131,,vous présentez,[vu pʁezɑ̃te / 부 프레장테],당신(들)은 소개한다,
17,131,,vous vous présentez,[vu vu pʁezɑ̃te / 부 부 프레장테],당신(들)은 자기소개한다,
18,131,,ils/elles présentent,[il/ɛl pʁezɑ̃ / 일·엘 프레장],그들/그녀들은 소개한다,
